op_rw_wait_ta_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008034,0,0,0,0,0
28,0.007076,0,0.005302,0.003897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519,0.004563,0,0.007767,0.003782,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0.002936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0.012353,0,0,0,0.003193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001844,0,0,0,0,0,0,0
35,0.004302,0,0,0,0.004553,0.00279,0.011731,0,0.003722,0.007661,0,0,0,0,0,0,0,0,0,0,0.001035,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0.005494,0.009097,0,0,0,0.003337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003254,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001603,0,0,0,0.004619,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017815,0,0,0.014632,0,0.014937,0.015973,0.019042,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.006428,0.004344,0,0.003581,0.003293,0,0,0.006944,0,0,0,0,0.003225,0,0,0.002093,0.001712,0.002765,0.001196,0,0,0,0,0,0,0,0,0,0.001123,0.006403,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005957,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.00094,0,0,0,0,0,0,0,0,0,0,0.006612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000902,0,0
56,0,0,0.002634,0,0,0,0,0,0,0,0,0.000894,0,0,0,0,0,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.007304,0.004436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003321,0,0,0.002078,0,0.005084,0,0.003639,0,0.00868,0.002148,0,0.001107,0.000768,0,0.012912,0
58,0,0,0,0,0,0.006272,0.003267,0,0,0,0,0,0,0,0,0,0.006213,0,0,0,0,0.000816,0,0,0,0,0.002492,0,0,0,0.002083,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002661,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0.005459,0,0.007765,0.008385,0.006605,0,0,0.008034,0,0.00562,0.005864,0,0,0,0,0,0,0,0.00812,0,0,0.005884,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0.034167,0,0.005986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.001179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014681,0.000721,0.00266,0,0,0,0,0,0,0,0,0
65,0,0,0.011229,0,0,0.002014,0,0,0,0,0,0,0,0,0,0.002402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.003924,0,0.000673,0,0,0,0,0,0,0,0,0,0,0,0,0.012572,0.002615,0.004977,0,0,0.006694,0.000968,0,0,0,0.00104,0.000907,0,0,0,0,0
71,0,0,0,0,0,0.003793,0,0,0,0.021335,0.003986,0,0,0,0,0.020453,0,0,0.004014,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0.019545,0,0.017906,0.021031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0.003392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002571,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000955,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.008589,0,0,0,0,0,0,0,0,0.022918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003568,0.001205,0,0
81,0.001292,0,0,0,0,0,0.001882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0,0,0.001656
82,0,0,0,0,0,0.004856,0,0,0,0,0,0,0,0,0.002722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002523,0
88,0,0.005096,0,0.001619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005597,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001425,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0.001103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012555,0,0,0,0,0,0.002373,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0.00157,0,0.00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0.001302,0,0.019639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0.00212,0,0,0,0,0,0,0,0,0,0.007592,0.000661,0,0.001879,0,0,0,0.001139,0,0.004455,0.00948,0,0.00421,0,0,0.009675,0
105,0.004133,0,0,0,0,0,0,0,0,0.002394,0,0,0,0,0,0.004466,0,0,0,0,0,0,0,0,0.003441,0.000755,0.007181,0,0,0,0,0.010594
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0.009692,0,0.010203,0,0,0,0,0,0,0,0,0,0,0,0,0.005411,0.009621,0.007115,0,0,0,0,0.003447
111,0,0,0,0,0,0,0,0,0,0,0,0.001205,0,0,0,0,0,0,0.009832,0,0.009507,0.006043,0.006554,0.010549,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0.000963,0,0,0,0,0,0,0.004166,0.002478,0,0.002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003455,0,0.003153,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0.000699,0.006158,0,0,0,0,0,0,0.004464,0,0,0.004766,0,0,0,0,0,0,0.003532,0,0.003487,0.004423,0.002865,0,0.005952,0.006473,0.003681,0
117,0,0,0.023348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006274,0,0.003961,0,0,0,0.027756,0.023651,0.026662,0,0,0,0,0
118,0,0,0,0,0,0,0.004599,0.001958,0.006082,0,0,0.001331,0,0,0.004919,0,0,0.025707,0,0,0.01711,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003582,0,0,0,0,0,0,0,0,0.007155,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.002898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0.003773,0,0,0,0,0,0.006449,0,0,0,0,0,0,0.00179,0,0,0,0,0,0,0,0,0.001674,0,0,0,0.001039,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0.002589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000948,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000854,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0.00244,0,0,0,0.004225,0,0,0,0,0,0,0,0,0,0,0.004071,0,0,0,0,0,0.000787
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000778,0,0.001322,0,0,0,0,0,0,0,0,0
131,0,0,0.003101,0,0,0.006308,0,0,0,0.000824,0,0.002456,0,0,0,0,0,0,0.001947,0,0.003121,0,0,0,0,0,0,0,0,0,0.003974,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003166,0,0.001676,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0.012805,0,0,0,0,0,0.002764,0,0,0,0,0,0.005731,0,0,0,0,0,0,0.001906,0,0,0,0,0.002048,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002704,0.002602,0,0,0.00754,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0.001764,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0.001937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.004515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001699,0,0,0,0,0,0,0.000835,0,0,0.024294,0,0,0,0
146,0.009353,0,0,0,0,0,0,0,0.001816,0,0,0,0,0,0,0.001553,0,0,0.0252,0,0,0,0,0,0.006037,0,0,0.004982,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,0,0,0.000664,0,0,0.000714,0,0,0.001748,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0.009033,0,0.008452,0,0,0.017122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001372,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0.004404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0.001974,0,0,0,0,0,0,0,0,0,0,0.005204,0,0,0,0,0,0,0,0,0.008817,0,0.009914,0,0.011429,0.004707,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006691,0.006588,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004233,0,0,0,0,0,0,0,0,0.003513,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0.008589,0,0,0,0,0.000854,0,0,0,0.000646,0.008325,0,0,0,0.008952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893,0,0,0,0,0,0,0,0,0,0.000941,0.00839,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000826,0.007299,0,0,0,0.010066,0.004082,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002527,0,0,0,0,0,0
166,0,0,0,0.001167,0,0,0,0,0.000885,0,0.002462,0,0,0.00131,0,0,0,0,0,0,0.116348,0,0,0,0,0,0,0,0,0.002463,0.00244,0.002294
167,0,0,0,0,0,0,0,0,0,0,0,0,0.003937,0,0,0,0,0.002855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003033
168,0,0,0.022871,0,0.015493,0,0.024615,0,0,0.024845,0.007107,0.030138,0.013631,0,0,0.001209,0,0.001664,0,0,0,0,0,0,0,0,0,0,0.003118,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017433,0.005188,0,0.005917,0.02501,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002954,0.009352,0.005967,0,0,0,0,0,0,0,0,0.009026,0.005277,0.012447,0,0.001302,0.004545,0,0.016292
171,0,0,0,0.012411,0,0,0,0.002561,0,0,0,0,0,0,0,0,0.005325,0,0,0,0,0,0.008589,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0.006928,0,0,0,0,0,0,0,0.00416,0,0.00738,0.004843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005264,0,0.002792
174,0.001148,0,0,0,0.000806,0.000733,0,0,0.001501,0.004014,0,0.003946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001067,0,0,0
